meter_id,feeder_id,consumer_type,sanctioned_load_kw,base_daily_kwh,tariff_rate,billing_address,installation_year,lat,lon
BLR-KMG-11-0001,KMG-11,residential,5,14.247915185359671,5.5,189 BTM Bengaluru,2019,12.920239780813448,77.60632334448673
BLR-KMG-11-0002,KMG-11,commercial,15,114.96870933552546,7.2,150 BTM Bengaluru,2019,12.942879950890672,77.64154210836062
BLR-KMG-11-0003,KMG-11,residential,5,12.644741134788031,5.5,58 BTM Bengaluru,2021,12.914922497001657,77.62499098641032
BLR-KMG-11-0004,KMG-11,residential,1,17.632577263780426,5.5,15 Koramangala Bengaluru,2021,12.934569377536544,77.62769658275448
BLR-KMG-11-0005,KMG-11,residential,2,6.387337731622082,5.5,167 Indiranagar Bengaluru,2021,12.951688070227393,77.62653152871381
BLR-KMG-11-0006,KMG-11,residential,1,7.232513558710086,5.5,92 HSR Layout Bengaluru,2021,12.93380707640445,77.6053755408446
BLR-KMG-11-0007,KMG-11,commercial,5,109.50267412247784,7.2,2 Indiranagar Bengaluru,2021,12.92139417822102,77.64278338511058
BLR-KMG-11-0008,KMG-11,commercial,25,137.37928205131786,7.2,14 HSR Layout Bengaluru,2018,12.952446880973973,77.63778135394712
BLR-KMG-11-0009,KMG-11,commercial,10,100.41013987966178,7.2,188 HSR Layout Bengaluru,2022,12.91963696899899,77.63608787923016
BLR-KMG-11-0010,KMG-11,residential,5,14.811426770153204,5.5,136 Koramangala Bengaluru,2020,12.942274293753904,77.63316028672163
BLR-KMG-11-0011,KMG-11,commercial,5,73.01588742531271,7.2,41 HSR Layout Bengaluru,2018,12.938931925073101,77.6172359209941
BLR-KMG-11-0012,KMG-11,residential,2,8.552566508374458,5.5,99 HSR Layout Bengaluru,2023,12.949488509703052,77.62288859700648
BLR-KMG-11-0013,KMG-11,residential,3,14.650990680636564,5.5,142 Koramangala Bengaluru,2018,12.942426515587432,77.60843563283247
BLR-KMG-11-0014,KMG-11,residential,1,16.540690339429272,5.5,52 BTM Bengaluru,2021,12.950302658957042,77.61397168916595
BLR-KMG-11-0015,KMG-11,residential,3,7.2031743168827145,5.5,160 Koramangala Bengaluru,2020,12.920448851490159,77.64118790609369
BLR-KMG-11-0016,KMG-11,commercial,15,134.57527082252614,7.2,28 HSR Layout Bengaluru,2021,12.930660397914814,77.63933121035674
BLR-KMG-11-0017,KMG-11,residential,1,8.988169733077648,5.5,190 MG Road Bengaluru,2018,12.923117406501676,77.62108431154505
BLR-KMG-11-0018,KMG-11,commercial,25,30.834255663742884,7.2,155 MG Road Bengaluru,2023,12.922884312418828,77.60879461469334
BLR-KMG-11-0019,KMG-11,residential,5,8.524841048290574,5.5,96 MG Road Bengaluru,2021,12.92854518409517,77.64287128330884
BLR-KMG-11-0020,KMG-11,industrial,25,697.2485058923854,6.8,113 BTM Bengaluru,2018,12.953909619401957,77.61467124057101
BLR-KMG-11-0021,KMG-11,industrial,50,233.05073290054838,6.8,129 Koramangala Bengaluru,2023,12.919795794883647,77.6235781104111
BLR-KMG-11-0022,KMG-11,industrial,25,872.1355474058786,6.8,184 Koramangala Bengaluru,2018,12.943128653944473,77.61871132530877
BLR-KMG-11-0023,KMG-11,residential,2,11.500845577046618,5.5,144 MG Road Bengaluru,2018,12.92683120259887,77.61146074041599
BLR-KMG-11-0024,KMG-11,residential,2,13.485901065791953,5.5,147 Indiranagar Bengaluru,2020,12.946380041845588,77.61794663949166
BLR-KMG-11-0025,KMG-11,residential,5,9.566008295225313,5.5,39 Indiranagar Bengaluru,2018,12.94102760468157,77.63340864476963
BLR-KMG-11-0026,KMG-11,residential,2,13.74098159083115,5.5,7 HSR Layout Bengaluru,2019,12.953286733733176,77.62466543565084
BLR-KMG-11-0027,KMG-11,residential,5,17.515870918043113,5.5,197 BTM Bengaluru,2020,12.921548284333655,77.61515485410368
BLR-KMG-11-0028,KMG-11,residential,3,15.988540086293295,5.5,54 MG Road Bengaluru,2021,12.917365598599801,77.61046514856378
BLR-KMG-11-0029,KMG-11,commercial,15,31.10364619399556,7.2,99 MG Road Bengaluru,2022,12.925356838989497,77.61621455441377
BLR-KMG-11-0030,KMG-11,residential,2,17.922404476551492,5.5,161 HSR Layout Bengaluru,2018,12.933755748607336,77.61115290836885
BLR-KMG-11-0031,KMG-11,residential,3,14.09315893952981,5.5,128 MG Road Bengaluru,2021,12.93435256307355,77.62945330472743
BLR-KMG-11-0032,KMG-11,residential,2,17.704500015850126,5.5,51 Koramangala Bengaluru,2020,12.945792452141665,77.62410548372421
BLR-KMG-11-0033,KMG-11,residential,2,6.733401829172623,5.5,61 Koramangala Bengaluru,2021,12.914972638657257,77.62981889183628
BLR-KMG-11-0034,KMG-11,residential,5,17.355000078036223,5.5,117 Koramangala Bengaluru,2021,12.914618264661154,77.6411327425035
BLR-KMG-11-0035,KMG-11,residential,5,17.49067967924954,5.5,116 BTM Bengaluru,2022,12.921636441246013,77.6147389942756
BLR-KMG-11-0036,KMG-11,residential,2,9.525680535332611,5.5,54 Indiranagar Bengaluru,2020,12.936802446803574,77.60788705975082
BLR-KMG-11-0037,KMG-11,residential,5,5.961176213311337,5.5,155 Indiranagar Bengaluru,2019,12.926902030569543,77.63794679179698
BLR-KMG-11-0038,KMG-11,residential,3,11.739479676710708,5.5,170 Indiranagar Bengaluru,2020,12.924248277743777,77.62846054843462
BLR-KMG-11-0039,KMG-11,residential,1,12.790521809280905,5.5,20 MG Road Bengaluru,2023,12.945831706777444,77.6396002136727
BLR-KMG-11-0040,KMG-11,residential,2,5.315747157772166,5.5,191 Koramangala Bengaluru,2018,12.92020166466911,77.64327363553241
BLR-KMG-11-0041,KMG-11,commercial,25,60.03016326190369,7.2,170 Koramangala Bengaluru,2021,12.927066049671842,77.6371147601515
BLR-KMG-11-0042,KMG-11,residential,5,10.401712262592198,5.5,6 BTM Bengaluru,2021,12.930454156202266,77.63198048843068
BLR-KMG-11-0043,KMG-11,residential,1,17.573516139598226,5.5,106 Koramangala Bengaluru,2018,12.92995283605779,77.62134082950323
BLR-KMG-11-0044,KMG-11,commercial,5,52.120040919764406,7.2,62 MG Road Bengaluru,2021,12.93035811777657,77.61093177280283
BLR-KMG-11-0045,KMG-11,residential,1,11.689173305885687,5.5,48 MG Road Bengaluru,2022,12.925197355877836,77.64219461122653
BLR-KMG-11-0046,KMG-11,commercial,10,103.40648954812227,7.2,195 HSR Layout Bengaluru,2019,12.92823890714605,77.63431384441857
BLR-KMG-11-0047,KMG-11,residential,1,4.6440369883045385,5.5,94 HSR Layout Bengaluru,2022,12.932966953163492,77.60791336642603
BLR-KMG-11-0048,KMG-11,residential,2,6.424826178740212,5.5,101 Indiranagar Bengaluru,2019,12.951965829263655,77.63946721549192
BLR-KMG-11-0049,KMG-11,residential,1,17.06810831311276,5.5,96 MG Road Bengaluru,2022,12.941358550775925,77.6286340465756
BLR-KMG-11-0050,KMG-11,industrial,200,1067.1989335550038,6.8,160 Koramangala Bengaluru,2021,12.937018967115035,77.61952679704825
BLR-KMG-11-0051,KMG-11,residential,2,11.638635050423089,5.5,101 HSR Layout Bengaluru,2020,12.94681707375085,77.63005939087431
BLR-KMG-11-0052,KMG-11,residential,1,7.004247675917238,5.5,46 Indiranagar Bengaluru,2022,12.917777718430237,77.63132027093665
BLR-KMG-11-0053,KMG-11,residential,2,15.828254353572364,5.5,90 Indiranagar Bengaluru,2020,12.925274190990935,77.60872659310486
BLR-KMG-11-0054,KMG-11,residential,2,16.28460818937874,5.5,164 MG Road Bengaluru,2022,12.952703222060808,77.62591887532992
BLR-KMG-11-0055,KMG-11,residential,2,12.062944053613185,5.5,99 HSR Layout Bengaluru,2019,12.924000657968643,77.62722176049375
BLR-KMG-11-0056,KMG-11,commercial,10,58.631623174840826,7.2,183 BTM Bengaluru,2018,12.923529446096158,77.61910915544705
BLR-KMG-11-0057,KMG-11,residential,2,9.454653207068848,5.5,141 Koramangala Bengaluru,2020,12.929568067149367,77.60443350605921
BLR-KMG-11-0058,KMG-11,commercial,5,68.31763651084978,7.2,128 HSR Layout Bengaluru,2020,12.933721026310872,77.6073313764478
BLR-KMG-11-0059,KMG-11,residential,2,11.751842732841212,5.5,53 MG Road Bengaluru,2022,12.951237164227491,77.64296992834137
BLR-KMG-11-0060,KMG-11,industrial,25,937.0355567910088,6.8,75 Indiranagar Bengaluru,2021,12.941521200407001,77.63747855496949
BLR-KMG-11-0061,KMG-11,commercial,15,81.13097700563293,7.2,168 Indiranagar Bengaluru,2018,12.946874402371613,77.63224968908625
BLR-KMG-11-0062,KMG-11,residential,1,17.81295409901646,5.5,109 MG Road Bengaluru,2023,12.9465119826903,77.64188994309535
BLR-KMG-11-0063,KMG-11,industrial,100,576.2595855309157,6.8,159 Koramangala Bengaluru,2022,12.92911950360489,77.63220337457186
BLR-KMG-11-0064,KMG-11,residential,2,10.082325822835799,5.5,173 BTM Bengaluru,2019,12.932746425679765,77.60625213102728
BLR-KMG-11-0065,KMG-11,residential,1,13.08894422962489,5.5,1 Koramangala Bengaluru,2022,12.923500258851698,77.62000891571488
BLR-KMG-11-0066,KMG-11,residential,1,11.397181698160928,5.5,117 Indiranagar Bengaluru,2021,12.95311602675017,77.6262402015457
BLR-KMG-11-0067,KMG-11,residential,1,16.945006623130347,5.5,164 Koramangala Bengaluru,2020,12.952772101424763,77.6249239137668
BLR-KMG-11-0068,KMG-11,residential,2,10.363574906748825,5.5,117 Koramangala Bengaluru,2018,12.950610173666764,77.6423480962963
BLR-KMG-11-0069,KMG-11,residential,2,5.494584923102382,5.5,117 Indiranagar Bengaluru,2021,12.939873934466748,77.61953073535959
BLR-KMG-11-0070,KMG-11,residential,1,9.044831332873756,5.5,192 Koramangala Bengaluru,2023,12.915292638044384,77.61519054028675
BLR-KMG-11-0071,KMG-11,residential,2,7.793406995211818,5.5,141 Koramangala Bengaluru,2022,12.951621273085415,77.62066556230954
BLR-KMG-11-0072,KMG-11,residential,5,5.158477880494286,5.5,30 Indiranagar Bengaluru,2020,12.915808746804247,77.60505467897988
